date,avg_temperatures_f,avg_temperatures_c
2023-01-04,53.9,12.2
2023-01-05,52.8,11.6
2023-01-06,48.4,9.1
2023-01-07,50.7,10.4
2023-01-08,45.0,7.2
2023-01-09,44.3,6.8
2023-01-10,47.3,8.5
2023-01-11,47.5,8.6
2023-01-12,49.8,9.9
2023-01-13,46.4,8.0
2023-01-14,48.2,9.0
2023-01-15,41.8,5.5
2023-01-16,37.4,3.0
2023-01-17,31.6,-0.2
2023-01-18,33.1,0.6
2023-01-19,33.8,1.0
2023-01-20,35.1,1.7
2023-01-21,35.9,2.2
2023-01-22,32.7,0.4
2023-01-23,33.3,0.7
2023-01-24,36.4,2.5
2023-01-25,37.1,2.8
2023-01-26,40.4,4.7
2023-01-27,40.1,4.5
2023-01-28,37.9,3.3
2023-01-29,42.4,5.8
2023-01-30,43.1,6.1
2023-01-31,42.8,6.0
2023-02-01,43.9,6.6
2023-02-02,47.2,8.4
2023-02-03,48.4,9.1
2023-02-04,45.8,7.7
2023-02-05,42.6,5.9
2023-02-06,38.7,3.7
2023-02-07,37.0,2.8
2023-02-08,35.8,2.1
2023-02-09,39.6,4.2
2023-02-10,39.5,4.2
2023-02-11,45.9,7.7
2023-02-12,45.4,7.4
2023-02-13,44.7,7.1
2023-02-14,44.5,7.0
2023-02-15,46.1,7.9
2023-02-16,48.9,9.4
2023-02-17,53.3,11.8
2023-02-18,51.6,10.9
2023-02-19,50.0,10.0
2023-02-20,49.9,10.0
2023-02-21,48.1,8.9
2023-02-22,45.8,7.7
2023-02-23,42.0,5.6
2023-02-24,41.5,5.3
2023-02-25,40.0,4.4
2023-02-26,39.7,4.3
2023-02-27,40.6,4.8
2023-02-28,41.7,5.4
2023-03-01,42.1,5.6
2023-03-02,42.9,6.1
2023-03-03,42.1,5.6
2023-03-04,41.8,5.5
2023-03-05,41.1,5.1
2023-03-06,40.7,4.8
2023-03-07,38.7,3.7
2023-03-08,35.3,1.8
2023-03-09,43.7,6.5
2023-03-10,41.2,5.1
2023-03-11,38.2,3.4
2023-03-12,49.4,9.6
2023-03-13,52.4,11.3
2023-03-14,40.5,4.7
2023-03-15,40.5,4.7
2023-03-16,49.6,9.8
